key,link,n_visit,last_visit,study_interval,is_current,is_retired,box_id,easiness,n_scores
doen,https://www.woorden.org/woord/doen,0,2023-03-17 13:51:35.579094,0,True,False,9148,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
nederlandse,https://www.woorden.org/woord/nederlandse,0,2023-03-17 13:51:35.579094,0,True,False,5704,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
goed,https://www.woorden.org/woord/goed,0,2023-03-17 13:51:35.579094,0,True,False,1360,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
zien,https://www.woorden.org/woord/zien,0,2023-03-17 13:51:35.579094,0,True,False,6815,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
president,https://www.woorden.org/woord/president,0,2023-03-17 13:51:35.579094,0,True,False,9148,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
miljoen,https://www.woorden.org/woord/miljoen,0,2023-03-17 13:51:35.579094,0,True,False,4693,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
eerder,https://www.woorden.org/woord/eerder,0,2023-03-17 13:51:35.579094,0,True,False,7926,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
hoe,https://www.woorden.org/woord/hoe,0,2023-03-17 13:51:35.579094,0,True,False,5704,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
zij,https://www.woorden.org/woord/zij,0,2023-03-17 13:51:35.579094,0,True,False,3582,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
krijgen,https://www.woorden.org/woord/krijgen,0,2023-03-17 13:51:35.579094,0,True,False,3582,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
uur,https://www.woorden.org/woord/uur,0,2023-03-17 13:51:35.579094,0,True,False,1360,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
willen,https://www.woorden.org/woord/willen,0,2023-03-17 13:51:35.579094,0,True,False,9148,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
amerikaanse,https://www.woorden.org/woord/amerikaanse,0,2023-03-17 13:51:35.579094,0,True,False,1360,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
sinds,https://www.woorden.org/woord/sinds,0,2023-03-17 13:51:35.579094,0,True,False,2471,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
mogelijk,https://www.woorden.org/woord/mogelijk,0,2023-03-17 13:51:35.579094,0,True,False,9148,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
tweede,https://www.woorden.org/woord/tweede,0,2023-03-17 13:51:35.579094,0,True,False,9148,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
af,https://www.woorden.org/woord/af,0,2023-03-17 13:51:35.579094,0,True,False,7926,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
vooral,https://www.woorden.org/woord/vooral,0,2023-03-17 13:51:35.579094,0,True,False,4693,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
dus,https://www.woorden.org/woord/dus,0,2023-03-17 13:51:35.579094,0,True,False,1360,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
heel,https://www.woorden.org/woord/heel,0,2023-03-17 13:51:35.579094,0,True,False,3582,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
jaren,https://www.woorden.org/woord/jaren,0,2023-03-17 13:51:35.579094,0,True,False,2471,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
tijdens,https://www.woorden.org/woord/tijdens,0,2023-03-17 13:51:35.579094,0,True,False,0259,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
verder,https://www.woorden.org/woord/verder,0,2023-03-17 13:51:35.579094,0,True,False,2471,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
bekend,https://www.woorden.org/woord/bekend,0,2023-03-17 13:51:35.579094,0,True,False,3582,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
geld,https://www.woorden.org/woord/geld,0,2023-03-17 13:51:35.579094,0,True,False,9148,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
kwam,https://www.woorden.org/woord/kwam,0,2023-03-17 13:51:35.579094,0,True,False,8037,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
minder,https://www.woorden.org/woord/minder,0,2023-03-17 13:51:35.579094,0,True,False,2471,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
steeds,https://www.woorden.org/woord/steeds,0,2023-03-17 13:51:35.579094,0,True,False,8037,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
vorig,https://www.woorden.org/woord/vorig,0,2023-03-17 13:51:35.579094,0,True,False,0259,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
zeggen,https://www.woorden.org/woord/zeggen,0,2023-03-17 13:51:35.579094,0,True,False,3582,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
zelf,https://www.woorden.org/woord/zelf,0,2023-03-17 13:51:35.579094,0,True,False,6815,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
mee,https://www.woorden.org/woord/mee,0,2023-03-17 13:51:35.579094,0,True,False,8037,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
dag,https://www.woorden.org/woord/dag,0,2023-03-17 13:51:35.579094,0,True,False,3582,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
kinderen,https://www.woorden.org/woord/kinderen,0,2023-03-17 13:51:35.579094,0,True,False,2471,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
leven,https://www.woorden.org/woord/leven,0,2023-03-17 13:51:35.579094,0,True,False,7926,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
laten,https://www.woorden.org/woord/laten,0,2023-03-17 13:51:35.579094,0,True,False,5704,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
per,https://www.woorden.org/woord/per,0,2023-03-17 13:51:35.579094,0,True,False,4693,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
zoals,https://www.woorden.org/woord/zoals,0,2023-03-17 13:51:35.579094,0,True,False,1360,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
toe,https://www.woorden.org/woord/toe,0,2023-03-17 13:51:35.579094,0,True,False,6815,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
vindt,https://www.woorden.org/woord/vindt,0,2023-03-17 13:51:35.579094,0,True,False,0259,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
zouden,https://www.woorden.org/woord/zouden,0,2023-03-17 13:51:35.579094,0,True,False,9148,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
landen,https://www.woorden.org/woord/landen,0,2023-03-17 13:51:35.579094,0,True,False,5704,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
keer,https://www.woorden.org/woord/keer,0,2023-03-17 13:51:35.579094,0,True,False,8037,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
